Incident_ID,Date,Quarter,School,City,State,School_Level,During_School,Summary
20220513FLALW,2022/5/13,Spring,Alexander W. Dreyfoos School of the Arts,West Palm Beach,FL,High,Yes,"Van crashed through campus gate, driver fought school police office, second officer shot him"
20220513GASOM,2022/5/13,Spring,Southwest High School,Macon,GA,High,No,Adult man shot and critically injured in school parking lot
20220512TXHEH,2022/5/12,Spring,Heights High School,Houston,TX,High,Yes,Student shot in school parking lot during afternoon classes
20220512ARHOH,2022/5/12,Spring,Hot Springs High School,Hot Springs,AR,High,No,4 people shot in parking lot following graduation ceremony
20220511FLJAJ,2022/5/11,Spring,Andrew Jackson High School,Jacksonville,FL,High,Yes,Student shot exiting school during drive-by
20220509GARIS,2022/5/9,Spring,Riverside Elementary School,Suwanee,GA,Elementary,Yes,Woman fired 12 shots at occupied school bus
20220509NYEDS,2022/5/9,Spring,Eden Ii Institute,Staten Island,NY,Other,Yes,Man fatally shot by front door to school
20220505OHLOL,2022/5/5,Spring,Lowellville K-12 School,Lowellville,OH,K-12,Yes,Student commit suicide in the school cafeteria
20220505ALDOD,2022/5/5,Spring,Dothan City School Bus,Dothan,AL,K-12,No,Man fired BBs at moving school bus and other vehicles
20220503CAARS,2022/5/3,Spring,Arrowview Middle School,San Bernardino,CA,Middle,No,Shots fired during drive-by struck school building
20220501OHHAC,2022/5/1,Spring,Hamilton Stem Academy,Columbus,OH,Elementary,No,Man found fatally shot in the school parking lot
20220501VALOM,2022/5/1,Spring,Louise A. Benton Middle School,Manassas,VA,Middle,No,Two men shot during youth flag football tournament
20220430PAMCJ,2022/4/30,Spring,McKee Middle School (McKee Stadium),Jeannette City,PA,Middle,No,"Shot fired during youth football game at stadium, both men involved fled"
20220427TXMOS,2022/4/27,Spring,Morrill Elementary School,San Antonio,TX,Elementary,No,Police shot man attempting to break-in to school building
20220427INCOS,2022/4/27,Spring,Coquillard Elementary School,South Bend,IN,Elementary,Yes,"Student got off bus and fired a BB gun back at the bus, breaking a windown"
20220426MIASI,2022/4/26,Spring,Aspen Ridge School,Ishpeming Township,MI,K-8,Yes,Student commit suicide in bathroom
20220426GASOM,2022/4/26,Spring,Southwest High School,Macon,GA,High,No,"Teen fatally shot multiple times, body left in school parking lot"
20220425WIWIM,2022/4/25,Spring,Wisconsin Conservatory of Lifelong Learning,Milwaukee,WI,6-12,Yes,Multiple people fired shots during a fight striking 2 schools buses
20220425GAMAM,2022/4/25,Spring,Marietta City Schools Bus Yard,Marietta,GA,Other,No,Woman fired pellet gun at 15 school buses
20220424MOHAF,2022/4/24,Spring,Hazelwood Central High School,Florissant,MO,High,No,Two teens fatally shot cab driver in school parking lot during robbery
20220422ORHOS,2022/4/22,Spring,Houck Middle School,Salem,OR,Middle,No,Teen fired shots near school
20220422DCEDW,2022/4/22,Spring,Edmund Burke School,Washington,DC,6-12,Yes,Gunman fired at school from nearby apartment building
20220422CAMOR,2022/4/22,Spring,Mountain View Middle School,Redding,CA,Middle,No,Shots fired at adult men on the baseball field behind the school
20220421NDMOM,2022/4/21,Spring,Mott-Regent High School,Mott,ND,K-12,Yes,Man fatally shot by police when he refused to leave the school
20220416IAMED,2022/4/16,Spring,Meredith Middle School,Des Moines,IA,Middle,No,Person shot in front of the school
20220415VAGAW,2022/4/15,Spring,Gar-Field High School,Woodbridge,VA,High,No,Teenage girl shot in the leg during carnival held at school
20220414MSNEP,2022/4/14,Spring,Neshoba Central High School,Philadelphia,MS,High,Yes,3 teens fired high powered pellet guns at football team during practice
20220413MISHS,2022/4/13,Spring,Shelters Elementary School,Southgate,MI,Elementary,Yes,Student shot another student with a BB gun during recess
20220411ARPIP,2022/4/11,Spring,Pine Bluff High School,Pine Bluff,AR,High,Yes,Officer assigned school heard gunshots in parking lot
20220410MALYL,2022/4/10,Spring,Lynn English High School,Lynn,MA,High,No,Man fatally shot near the loading dock behind the school
20220406WVRIR,2022/4/6,Spring,Ripley Middle School,Ripley,WV,Middle,Yes,"Student brandished gun on school bus, subdued by other students, planned execution of student"
20220406ORROP,2022/4/6,Spring,Roosevelt High School,Portland,OR,High,No,Person shot in school parking lot
20220406WASTM,2022/4/6,Spring,St. Monica Catholic School,Mercer Island,WA,Elementary,Yes,Pellet gun fired from vehicle at students on the playground
20220405PAERE,2022/4/5,Spring,Erie High School,Erie,PA,High,Yes,Shot shot another student twice in the hallway between classes
20220403INBLB,2022/4/3,Spring,Bloomington High School South,Bloomington,IN,High,No,"Three teens shot at, one injured, in school parking lot"
20220331SCTAG,2022/3/31,Spring,Tanglewood Middle School,Greenville,SC,Middle,Yes,Student fatally shot another student in the hallway while classes were changing
20220331PAACP,2022/3/31,Spring, West Philadelphia Achievement Charter Elementary School,Philadelphia,PA,Elementary,Yes,Gun inside a 8-year-old students backpack discharged in school courtyard
20220330GABOA,2022/3/30,Spring,Booker T Washington High School,Atlanta,GA,High,Yes,"Mother brandished gun during fight between students, shot by SRO"
20220330AZKIK,2022/3/30,Spring,Kingman High School,Kingman,AZ,High,Yes,Student shot in the leg on the school bus
20220329NVWEL,2022/3/29,Spring,Western High School,Las Vegas,NV,High,Yes,SRO fired at vehicle that struck student in parking lot
20220329VALUR,2022/3/29,Spring,Lucy Addison Middle School,Roanoke,VA,Middle,Yes,Student fired gun in bathroom
20220328NCOAC,2022/3/28,Spring,Oakdale Elementary School,Charlotte,NC,Elementary,No,Teen shot during attempted robbery in school parking lot
20220328TXNOF,2022/3/28,Spring,North Crowley High School,Fort Worth,TX,High,No,Shots fired from a vehicle in the student parking lot
20220325TXROR,2022/3/25,Spring,Royse City High School,Royse City,TX,High,Yes,Active shooter response to school for 5 students firing pellet guns for TikTok challenge
20220325TNBRM,2022/3/25,Spring,Brighton High School,Memphis,TN,High,No,Shots fired during candlelight vigil for former student
20220325UTHIS,2022/3/25,Spring,Highland High School,Salt Lake City,UT,High,Yes,"Teens fired pellet gun at vehicle for TikTok challenge, real bullets fired back"
20220324VARIW,2022/3/24,Spring,Rippon Middle School,Woodbridge,VA,Middle,Yes,"Man in ski mask with rifle and shotgun fired shot outside of school, arrested by SRO"
20220322VAJAR,2022/3/22,Spring,James Madison Middle School,Roanoke,VA,Middle,Yes,School bus tire shot while driving students home after school
20220322TXWOD,2022/3/22,Spring,Woodrow Wilson High School,Dallas,TX,High,Yes,Shots fired at dismissal during fight
20220322FLNEN,2022/3/22,Spring,New Smyrna Beach High School,New Smyrna Beach,FL,High,Yes,Student shot school employee multiple times in the face with pellet gun
20220321MSLEP,2022/3/21,Spring,Leap of Faith Middle School,Pascagoula,MS,Middle,Yes,"Shots fired outside school, gunman broken into school building fleeing police"
20220321AZDES,2022/3/21,Spring,Desert Canyon Middle School,Scottsdale,AZ,Middle,Yes,"Man fired shots on soccer field, school went on lockdown"
20220321MIMAK,2022/3/21,Spring,Mahone Middle School,Kenosha,WI,Middle,Yes,Parent pointed a gun and threatened another parent in the pick-up line
20220319ALCEL,2022/3/19,Spring,Central Baldwin Middle School,Loxley,AL,Middle,No,Shots fired during robbery in parking lot
20220311OHMAM,2022/3/18,Spring,Madison High School,Mansfield,OH,High,Yes,School van with coach and 4 students was struck by a bullet while driving
20220318ILBAB,2022/3/18,Spring,Barrington High School,Barrington,IL,High,Yes,Two teens shot with pellet guns walking into school
20220318RICEP,2022/3/18,Spring,null,Providence,RI,High,Yes,"Students fired pellet gun in parking lot, dragged staff member with vehicle"
20220317AKREW,2022/3/17,Spring,Redington Jr/Sr High School,Wasilla,AK,6-12,Yes,"Student fired shot at dismissal, detained by school staff"
20220316CALOR,2022/3/16,Spring,Loma Vista Middle School,Riverside,CA,Middle,Yes,Student fired shot while showing off gun inside school
20220315WAEIY,2022/3/15,Winter,Eisenhower High School,Yakima,WA,High,Yes,Two students shot in parking lot at dismissal
20220315MATEB,2022/3/15,Spring,Tech Academy Boston,Boston,MA,High,No,Shots fired at a group of students and staff outside school
20220315MDPAB,2022/3/15,Spring,Paul Lawrence Dunbar High School,Baltimore,MD,High,Yes,Student shot during dispute at dismissal
20220315GAFOF,2022/3/15,Spring,Forest Park Middle School,Forest Park,GA,Middle,No,Shots fired when school police confronted intruder
20220314CAKRP,2022/3/14,Spring,Kraemer Middle School,Placentia,CA,Middle,Yes,School administrator commit suicide with firearm in office during school
20220313PANEP,2022/3/13,Spring,New Foundations Charter School,Philadelphia,PA,K-8,No,"Classroom window broken by gunshot, bullet found in classroom"
20220311OHFAP,2022/3/11,Spring,Fairland Middle School,Proctorville,OH,Middle,Yes,Fair employee fired three shots at fleeing robber climbing fence to school property 
20220311CADER,2022/3/11,Spring,De Anza High School,Richmond,CA,High,Yes,Shots fired during fight at dismissal
20220311WIJER,2022/3/11,Spring,Jerstad-Agerholm Elementary School,Racine,WI,Elementary,Yes,Student fired shot inside school bathroom
20220310MDCOL,2022/3/10,Spring,Cora L. Rice Elementary School,Landover,MD,Elementary,Yes,Adult man killed and school bus struck by bullet at dismissal
20220310COROH,2022/3/10,Spring,Rock Canyon High School,Highlands Ranch,CO,High,Yes,Student fired toy rifle in the parking lot causing lockdown
20220310TNHAM,2022/3/10,Spring,Hamilton Middle School,Memphis,TN,K-8,Yes,Mother threatened 5 students with gun during argument
20220309TXNOH,2022/3/9,Spring,Kimball High School,Houston,TX,High,No,Team trainer shot in foot on bus after high school game
20220309FLNOM,2022/3/9,Spring,North Gardens High School,Miami Gardens,FL,High,Yes,Teens fired from car into school building striking 3 students
20220309NMESE,2022/3/9,Spring,Espanola Valley High School,Espanola,NM,High,No,Paintballs fired a team bus in parking lot
20220307IAEAD,2022/3/7,Spring,East High School,Des Moines,IA,High,Yes,3 teens shot in front of school at dismissal
20220304KSOLO,2022/3/4,Spring,Olathe East High School,Olathe,KS,High,Yes,Student shot principal and SRO in school office
20220303MIJWL,2022/3/3,Winter,JW Sexton High School,Lansing,MI,High,Yes,Teen shot in school parking lot following road rage incident
20220228NYBOB,2022/2/28,Winter,Boys and Girls High School,Brooklyn,NY,High,Yes,Student shot at dismissal in front of school
20220227DCDUW,2022/2/27,Winter,Dunbar High School,Washington,DC,High,No,Man fatally shot in front of school
20220225NMWEA,2022/2/25,Winter,West Mesa High School,Albuquerque,NM,High,Yes,"Student fatally shot another student during dispute over stolen ""ghost gun"""
20220225ALSOH,2022/2/25,Winter,Sonnie Hereford Elementary,Huntsville,AL,Elementary,Yes,4th grader shot themselves inside classroom
20220223VAWOW,2022/2/23,Winter,Woodbridge High School,Woodbridge,VA,High,No,Shot fired during fight in parking lot outside basketball game
20220222COLIP,2022/2/22,Winter,Liberty Point International Middle School,Pueblo,CO,Middle,Yes,Officers shot intoxicated and combative man on school property
20220222TXALH,2022/2/22,Winter,Alief ISD Center for Advanced Careers,Houston,TX,High,No,"Two men shot in street in front of school, victim collapsed and died in school parking lot near front door"
20220221MDJOH,2022/2/21,Winter,John Carroll Elementary School,Hyattsville,MD,Elementary,No,Man fatally shot on playground behind school
20220220OKWIW,2022/2/20,Winter,Wilson Middle School,Wilson,OK,Middle,No,Office shot twice while investigating suspicious man behind school
20220220MSMCM,2022/2/20,Winter,McColm High School,McColm,MS,High,No,Drive-by shooting following basketball game
20220219VACAC,2022/2/19,Winter,Camelot Elementary School,Chesapeake,VA,Elementary,No,Teen shot in parking lot 
20220218MATET,2022/2/18,Winter,Tewksbury High School,Tewksbury,MA,High,No,4 teens fired pellet guns at crowd leaving basketball game
20220217WAMCG,2022/2/17,Winter,McClure Elementary School,Grandview,WA,Elementary,No,"Man shot next to school, shooter fled"
20220214FLLAL,2022/2/14,Winter,Lake City Middle School,Lake City,FL,Middle,Yes,Adult man fired shots in front of the school during a dispute at dismissal
20220211DCEAW,2022/2/11,Winter,Eagle Academy,Washington,DC,K-8,Yes,Man shot in school parking lot
20220209NYMCB,2022/2/9,Winter,McKinley High School,Buffalo,NY,High,Yes,Student stabbed and security guard shot during fight 
20220209MNMIM,2022/2/9,Winter,Minneapolis School Bus,Minneapolis,MN,Elementary,Yes,School bus driver shot in the head while driving the bus with children aboard
20220208MDCAC,2022/2/8,Winter,Catonsville High School,Catonsville,MD,High,No,Student shot in school parking lot
20220208NYMOM,2022/2/8,Winter,Mount Vernon High School,Mount Vernon,NY,High,Yes,Shots fired outside school prior to dismissal
20220204GASOD,2022/2/4,Winter,Southwest DeKalb High School,Decatur,GA,High,Yes,Student shot self in the leg in school parking lot at dismissal
20220204ALWEB,2022/2/4,Winter,Wenonah High School,Birmingham,AL,High,No,Student (not intended target) shot outside of gym following basketball game
20220203NCSPS,2022/2/3,Winter,Speight Middle School,Stantonsburg,NC,Middle,Yes,Bullet struck window of occupied school bus
20220202KYLOR,2022/2/2,Winter,Logan County Community Technology Center,Russellville,KY,High,No,Two windows of the school building shot
20220201MNSOR,2022/2/1,Winter,South Education Center,Richfield,MN,K-12,Yes,Two students shot in front of school
20220201WIRUM,2022/2/1,Winter,Rufus King High School,Milwaukee,WI,High,No,Five victims shot during fight outside basketball game
20220201PAACS,2022/2/1,Winter,Academy Park High School,Sharon Hill,PA,High,Yes,Shots fired in the school parking lot
20220201ILALC,2022/2/1,Winter,Alessandro Volta Elementary School,Chicago,IL,Elementary,Yes,Teen girl shot by front door of school
20220129WIBEB,2022/1/29,Winter,Beloit Memorial High School,Beloit,WI,High,No,Adult man killed outside of high school basketball game
20220128LACAM,2022/1/28,Winter,Carroll High School,Monroe,LA,High,No,Shots fired by man burglarizing vehicles during basketball game
20220127TXMOH,2022/1/27,Winter,Montgomery Elementary School,Houston,TX,Elementary,No,Woman shot during car sale robbery scam in school parking lot
20220126PABAP,2022/1/26,Winter,Bartram High School,Philadelphia,PA,High,Yes,1
20220124NVSUL,2022/1/24,Winter,Sunrise Mountain High School,Las Vegas,NV,High,Yes,Unidentified person shot in school parking lot during school day
20220121MDMAR,2022/1/21,Fall,Magruder High School,Rockville,MD,High,Yes,"Student shot in school bathroom, shooter found in school 3 hours later"
20220121GAMCA,2022/1/21,Fall,McNair High School,Atlanta,GA,High,Yes,Shots fired in school parking lot prior to dismissal
20220119FLSES,2022/1/19,Winter,Seminole High School,Sanford,FL,High,Yes,"Student shot 3 times inside school, shooter fled"
20220119VAMAP,2022/1/19,Winter,Manor High School,Portsmouth,VA,High,Yes,Student fatally shot behind school after dismissal
20220119PAPIP,2022/1/19,Winter,Pittsburgh Oliver Citywide Academy,Pittsburgh,PA,K-12,Yes,Special education student sitting in school van at dismissal shot by 2 gunmen
20220119DCANW,2022/1/19,Winter,Anacostia High School,Washington,DC,High,No,Two shots stuck the front door of the school
20220117TXPYH,2022/1/17,Winter,Pyburn Elementary School,Houston,TX,Elementary,No,Man and woman fatally shot during robbery
20220114MDGAG,2022/1/14,Winter,Gaithersburg High School,Gaithersburg,MD,High,Yes,Man arrested with loaded AR-15 outside of school
20220111NMVAA,2022/1/11,Fall,Valley High School,Albuquerque,NM,High,No,15 shots fired in parking lot during high school basketball game
20220106CAFLS,2022/1/6,Winter,Florin High School,Sacramento,CA,High,No,Two students shot at the back gate to the school campus
20220104ILAUR,2022/1/4,Winter,Auburn High School,Rockford,IL,High,Yes,Two student shot inside vehicle in school parking lot by 2 other students
20220103WACHP,2022/1/3,Winter,Childpeace Montessori School,Portland,OR,K-8,Yes,Shots fired from a vehicle in front of the school
20220103OHCOC,2022/1/3,Winter,Columbus School Bus,Columbus,OH,null,Yes,School bus struck by bullet while driving
20211229NCCAS,2021/12/29,Winter,Catawba College (high school tournament),Salisbury,NC,High,No,Two teens shot during fight in entryway to gym
20211217TXWOD,2021/12/17,Fall,Woodrow Wilson Junior High,Dayton,TX,High,Yes,Student in vehicle pointed BB rifle at school bus causing panic aboard
20211216SCEAC,2021/12/16,Winter,Eau Claire High School,Columbia,SC,High,Yes,Student fired shots during dismissal then fled
20211216NYPSB,2021/12/16,Winter,P.S. 026 Jesse Owens,Brooklyn,NY,Elementary,Yes,Shots fired in front of school
20211214VAMEN,2021/12/14,Winter,Menchville High School,Newport News,VA,High,No,Student fatally shot in school parking lot during basketball game
20211214WISOM,2021/12/14,Winter,South Division High School,Milwaukee,WI,High,Yes,Student fired shots into the air by the front door of the school
20211213NCWEC,2021/12/13,Winter,West Charlotte High School,Charlotte,NC,High,Yes,Shot fired during fight at dismissal
20211213FLEAO,2021/12/13,Winter,East River High School,Orlando,FL,High,Yes,Shot fired in the school parking lot during dismissal 
20211212NYSCR,2021/12/12,Winter,School No. 17,Rochester,NY,K-8,No,Adult male fatally shot during dispute on school playground
20211211GAJOG,2021/12/11,Winter,Jones County High School,Gray,GA,High,No,Shot fired in the gym during high school basketball game
20211211FLEDL,2021/12/11,Winter,Edward A. Upthegrove Elementary School,LaBelle,FL,Elementary,No,Shots fired in the school gym during youth basketball game
20211210OHCAC,2021/12/10,Winter,Canal Winchester High School,Canal Winchester,OH,High,No,Man fired shots at officers and fled across campus
20211210NCJEC,2021/12/9,Winter,Jesse C. Carson High,China Grove,NC,High,Yes,Target shooters struck vehicles in the school parking lot
20211209NYGRN,2021/12/9,Winter,Greater Oaks Charter School,New York,NY,Elementary,Yes,Bullet broke classroom window
20211208MOEWK,2021/12/8,Winter,Ewing Marion Kauffman School,Kansas City,MO,High,No,Two teens shot in school parking lot during basketball game
20211208KYSTL,2021/12/8,Winter,St. Matthews Elementary School,Louisville,KY,Elementary,No,Person inside a car was shot at several times in school parking lot
20211207ILHAC,2021/12/7,Winter,Haines Elementary School,Chicago,IL,Elementary,Yes,Man shot multiple times in front of school
20211206CAWIW,2021/12/6,Winter,Wilmington Park Elementary School,Wilmington,CA,Elementary,Yes,9-year-old girl critically injured by stray shot while on school playground
20211206NYSUS,2021/12/6,Winter,Susan E. Wagner High School,Staten Island,NY,High,Yes,Student waiting for bus was attacked and pistol whipped by 2 teens
20211203ARBLB,2021/12/3,Winter,Blytheville High School,Blytheville,AR,High,No,Teen fired multiple shots at person inside vehicle in the parking lot
20211202WAGAS,2021/12/2,Winter,Garfield High School,Seattle,WA,High,No,30 shots fired in school parking lot during basketball practice
20211201TXSAP,2021/12/1,Winter,Sam Rayburn High School,Pasadena,TX,High,Yes,Adult man robbed student at gunpoint and fired shot on the athletic field
20211130MIOXO,2021/11/30,Fall,Oxford High School,Oxford,MI,High,Yes,11 students shot during planned attack at school
20211130OHWHW,2021/11/30,Fall,Whitehall Yearling High School,Whitehall,OH,High,No,Teen shot himself while engaged in horseplay with two other teens
20211130TNHUH,2021/11/30,Fall,Humboldt High School,Humboldt,TN,High,No,3 people shot during high school basketball game
20211130CALOL,2021/11/30,Fall,Los Angeles School Bus,Los Angeles,CA,null,No,Back window of school bus shot out while driving
20211129AZCHP,2021/11/29,Fall,Cesar Chavez High School,Phoenix,AZ,High,Yes,Student shot during fight in bathroom
20211129ILWER,2021/11/29,Fall,West Middle School,Rockford,IL,Middle,No,"Shot fired behind the school, 4 teens seen running away"
20211126CAWES,2021/11/26,Fall,Westmount High School,San Jose,CA,High,No,"Two men shot in the parking lot during playoff football game, stadium evacuated"
20211124ILTHH,2021/11/24,Fall,Thornton Township High School,Harvey,IL,High,Yes,Shots fired outside school at dismissal
20211123OHCLC,2021/11/23,Fall,Cleveland School Bus,Cleveland,OH,null,Yes,Man robbed school bus driver at gunpoint
20211119COHIA,2021/11/19,Fall,Hinkley High School,Aurora,CO,High,null,3 students shot in the school parking lot during fight
20211119MDGIB,2021/11/18,Fall,Gilmor Elementary School,Baltimore,MD,Elementary,No,13-year-old girl shot outside of school
20211116FLJAJ,2021/11/16,Fall,Jacksonville School Bus,Jacksonville,FL,null,Yes,Occupied school bus struck by bullets
20211116NYPSB,2021/11/16,Fall,P.S. 44,Bronx,NY,Elementary,Yes,Shots fired outside school at dismissal by adult male
20211115NYPOP,2021/11/15,Fall,Poughkeepsie High School,Poughkeepsie,NY,High,Yes,Shots fired during fight in front of the school at dismissal
20211110NYITI,2021/11/10,Fall,Ithaca High School,Ithaca,NY,High,No,"Door of school bus shot, driver not injured"
20211109NMMEL,2021/11/9,Fall,Mesilla Valley Leadership Academy,Las Cruces,NM,null,Yes,SWAT standoff after man crashed stolen police car into school
20211108NYTHB,2021/11/8,Fall,Theodore Roosevelt High School,Bronx,NY,High,Yes,Student shot at dismissal on sidewalk in front of school
20211106FLOVO,2021/11/6,Fall,Oviedo High School,Oviedo,FL,High,No,Student brandish gun during fight at homecoming dance
20211125SCCEP,2021/11/4,Fall,Central High School,Pageland,SC,High,No,Multiple FFA goats and chickens shot
20211102NMHIH,2021/11/2,Fall,Highland Middle School,Hobbs,NM,Middle,Yes,12-year-old and friend shot at students outside the school with BB gun
20211030PASTM,2021/10/30,Fall,Sto Rox High School,McKees Rock,PA,High,No,Man shot outside football stadium during dispute over parking
20211027SCCAS,2021/10/27,Fall,Calhoun County High School,St. Matthews,SC,High,No,Student fired shots during fight following football game
20211026MSCAN,2021/10/26,Fall,Cathedral School,Natchez,MS,K-12,Yes,Shot fired from shotgun broke occupied classroom window
20211026ILWIC,2021/10/26,null,Jose de Diego Community Academy,Chicago,IL,K-12,No,Two shots fired during fight between two men
20211022PAPHP,2021/10/22,Fall,Philadelphia Learning Academy South,Philadelphia,PA,High,Yes,Student shot himself in the leg in the gym
20211021GABES,2021/10/21,Fall,Bethesda Academy,Savannah,GA,6-12,No,Man fired shots at occupied vehicles in the school parking lot
20211021NYPSB,2021/10/21,Fall,P. S. 65 Mother Hale Academy,Bronx,NY,Elementary,Yes,Shot fired during argument between two men
20211018PALIP,2021/10/18,Fall,Lincoln High School,Philadelphia,PA,High,Yes,Brother of student fired 15 shots at group of students during fight
20211017ARROR,2021/10/17,null,Rogers High School,Rogers ,AR,High,No,Man fired 16 shots at stadium press box
20211015ALWIM,2021/10/15,null,Williamson High School,Mobile,AL,6-12,No,4 shot inside the football stadium during game
20211015CAKEF,2021/10/15,Fall,Kepler Community School,Fresno,CA,Elementary,Yes,Gym teacher talked down man with gun on school playground
20211014MEREP,2021/10/14,Fall,Reiche Community School,Portland,ME,Elementary,No,Person shot on the school playground
20211013ILMCC,2021/10/13,Fall,McDade Classical Elementary School,Chicago,IL,Elementary,Yes,"28 shots fired from a vehicle, multiple bullets hit school building"
20211013PACHD,2021/10/13,Fall,Charles Kelly Elementary,Drexel Hill,PA,Elementary,Yes,Two students shot 4 classmates with pellet gun
20211012ILWEC,2021/10/12,Fall,Wendell Phillips Academy High School,Chicago,IL,High,Yes,SRO and student shot multiple times when they exited school at dismissal
20211012ARLIL,2021/10/12,Fall,Little Rock Central High School,Little Rock,AR,High,Yes,Multiple bullets struck school and broke an occupied classroom window
20211012OKUNT,2021/10/12,Fall,Union High School,Tulsa,OK,High,Yes,Student fired plastic projectile gun at group of students and staff waiting for the buses
20211012MIELK,2021/10/12,Fall,El Sol Academy,Kalamazoo,MI,Elementary,No,Group of teens was shot by a masked gunman
20211011ORROP,2021/10/11,Fall,Rosemary Anderson High School,Portland,OR,High,Yes,"Teen student was shot at shopping center, to school for assistance"
20211008OKCOC,2021/10/8,Fall,Comanche Middle School,Comanche,OK,Middle,No,"Student shot out glass door to cafeteria, staff member was inside"
20211007PAANP,2021/10/7,Fall,Antonia Pantoja Charter School,Philadelphia,PA,K-8,No,"Multiple shots broke windows of the cafeteria, bullets found inside"
20211007DCWAW,2021/10/7,Fall,Walkins Elementary School,Washington,DC,Elementary,No,Man shot following flag football game
20211007TXEAW,2021/10/7,Fall,East Chambers High School,Winnie,TX,High,No,Teen girl hit by stray bullet
20211007NCEAD,2021/10/7,Fall,Eastway Elementary School,Durham,NC,Elementary,No,Man found dead in vehicle in the school parking lot
20211006TXTIA,2021/10/6,Fall,Timberview High School,Arlington,TX,High,Yes,Shots fired during fight inside a classroom
20211005NDHEH,2021/10/5,Fall,Hettinger Public School,Hettinger,ND,K-12,Yes,Student walked into classroom and shot self in front of the class
20211005NCGAC,2021/10/5,Fall,Garinger High School,Charlotte,NC,High,Yes,"Student fired shot at vehicle and then ran inside the school, lockdown, gun recovered"
20211004PASCP,2021/10/4,Fall,School of the Future,Philadelphia,PA,High,No,"Active shooter fled workplace shooting scene, shootout with police behind school"
20211004OHWOT,2021/10/4,Fall,Woodward High School,Toledo,OH,High,No,"Student shot across the street, ran to school for assistance"
20211004ILLAC,2021/10/4,Fall,Lakeview High School,Chicago,IL,High,null,Shots fired in school parking lot
20211004NMSAS,2021/10/4,Winter,Santa Fe Indian School,Santa Fe,NM,6-12,Yes,"Man fired shots and attempted to steal vehicles, arrested on school property"
20211001TXYEH,2021/10/1,Fall,YES Prep,Houston,TX,High,Yes,Former student attacked school targeting specific staff member
